ImageID,Shapley_value
00013111_035.png,1.0935978934867308e-05
00010215_002.png,7.199645551736467e-06
00015163_002.png,6.147763087938074e-06
00000057_003.png,2.1271411242196336e-05
00011605_019.png,1.3299004422151484e-05
00025424_000.png,1.89934089576127e-05
00029326_000.png,6.8356544034031685e-06
00026573_004.png,3.184639126629918e-06
00000403_001.png,9.58045984589262e-06
00023325_008.png,4.770819032273721e-06
00005832_027.png,2.0388533812365495e-05
00003028_058.png,1.4854904293315485e-05
00007033_005.png,4.166553480899893e-06
00012276_012.png,2.639009608174092e-06
00017927_006.png,7.655185072508175e-06
00001376_008.png,8.01888745627366e-06
00003682_000.png,2.0279896943975473e-06
00016934_044.png,1.0301895599695854e-05
00011683_013.png,1.3149261576472782e-05
00020198_000.png,1.6851667169248685e-05
00018387_005.png,8.119172889564652e-06
00010443_000.png,1.748443719407078e-05
00014223_000.png,9.121007678913884e-06
00005783_000.png,3.037699389096815e-05
00003129_001.png,1.575053101987578e-05
00001320_000.png,1.0166348147322424e-05
00028123_004.png,9.336068615084514e-06
00023899_000.png,2.9518643714254722e-05
00026314_000.png,5.841740858159028e-06
00010545_001.png,9.346334081783425e-06
00014804_000.png,2.0517591110547073e-05
00009808_000.png,1.4199030374584254e-05
00026733_001.png,2.24533723667264e-05
00012038_000.png,1.9539165805326775e-05
00026057_004.png,5.614921974483877e-06
00021374_026.png,5.9654353208316024e-06
00021611_001.png,1.8285058104083873e-05
00020420_002.png,1.8731550881057046e-05
00025456_002.png,8.025354873097967e-06
00013443_000.png,4.33863442594884e-06
00014949_001.png,1.906387296912726e-05
00000880_000.png,3.20128929161001e-05
00015974_000.png,2.649594534887001e-06
00008877_000.png,1.0408982234366704e-05
00015040_001.png,4.681913196691312e-06
00014253_010.png,8.238212103606202e-06
00028285_007.png,8.81447340361774e-06
00013625_018.png,8.792433618509676e-06
00002978_000.png,3.519337042234838e-06
00010677_019.png,5.8894183894153684e-06
00001814_007.png,1.1713766980392393e-05
00006450_000.png,1.1111154890386388e-05
00012176_012.png,2.3310602045967244e-05
00025193_000.png,2.0901441530440934e-05
00006207_001.png,6.1778328017680906e-06
00030374_001.png,2.528465756768128e-06
00026556_001.png,8.489337233186234e-06
00009608_030.png,6.994460818532389e-06
00008536_000.png,8.198981049645226e-06
00029809_005.png,9.286149179388303e-06
00016830_004.png,4.873553734796587e-06
00017819_005.png,1.8444930901750922e-05
00025443_009.png,4.170107786194421e-06
00027613_001.png,3.1208264772430994e-06
00010179_006.png,9.601509191270452e-06
00012347_000.png,8.973504009190947e-06
00007415_000.png,3.406083123991266e-05
00011269_002.png,9.302687431045342e-06
00022206_004.png,9.846477951214183e-06
00003002_010.png,1.8929313227999955e-05
00014591_000.png,8.549102858523838e-06
00013003_011.png,9.46160071180202e-06
00008858_006.png,1.038916343532037e-05
00000489_003.png,2.383068476774497e-06
