fraction,k,strategy,seed,accuracy,precision,recall,specificity,f1,auc_roc
0.2,717,top_k,,0.6336898395721925,0.5741279069767442,0.7699805068226121,0.5188834154351396,0.6577851790174855,0.6956663689876031
0.2,717,bottom_k,,0.4536541889483066,0.4536178107606679,0.9532163742690059,0.03284072249589491,0.6147077309868008,0.4711587397612806
0.2,717,random,42.0,0.6773618538324421,0.6828087167070218,0.5497076023391813,0.7848932676518884,0.6090712742980562,0.7208026451825604
0.5,1793,top_k,,0.6586452762923352,0.6079734219269103,0.7134502923976608,0.6124794745484401,0.6565022421524663,0.7162702413761095
0.5,1793,bottom_k,,0.6310160427807486,0.6513761467889908,0.4152046783625731,0.812807881773399,0.5071428571428571,0.6833494976265696
0.5,1793,random,42.0,0.6586452762923352,0.6337448559670782,0.6003898635477583,0.7077175697865353,0.6166166166166166,0.6990176590902543
0.8,2869,top_k,,0.6399286987522281,0.6775244299674267,0.40545808966861596,0.8374384236453202,0.5073170731707317,0.7262825006321678
0.8,2869,bottom_k,,0.6746880570409982,0.6608695652173913,0.5925925925925926,0.7438423645320197,0.6248715313463515,0.7155980628454917
0.8,2869,random,42.0,0.6319073083778967,0.5645994832041343,0.8518518518518519,0.4466338259441708,0.679098679098679,0.7179634911032371
1.0,3587,top_k,,0.6711229946524064,0.6875,0.5146198830409356,0.8029556650246306,0.5886287625418061,0.7320280266438766
1.0,3587,bottom_k,,0.6711229946524064,0.6875,0.5146198830409356,0.8029556650246306,0.5886287625418061,0.7320280266438766
1.0,3587,random,42.0,0.6711229946524064,0.6875,0.5146198830409356,0.8029556650246306,0.5886287625418061,0.7320280266438766
