ImageID,OT_value
00013111_035.png,0.9772284030914307
00010215_002.png,0.9244606494903564
00015163_002.png,0.8165915608406067
00000057_003.png,0.984574019908905
00011605_019.png,0.9621567130088806
00025424_000.png,0.9022890329360962
00029326_000.png,0.9031573534011841
00026573_004.png,0.8479974269866943
00000403_001.png,0.9528933763504028
00023325_008.png,0.851069986820221
00005832_027.png,0.8928755521774292
00003028_058.png,0.9375113844871521
00007033_005.png,0.9721475839614868
00012276_012.png,0.9191527366638184
00017927_006.png,0.9288055300712585
00001376_008.png,0.8858793377876282
00003682_000.png,0.8366561532020569
00016934_044.png,0.9658860564231873
00011683_013.png,0.9139724969863892
00020198_000.png,0.9808492660522461
00018387_005.png,0.9025312662124634
00010443_000.png,0.9713687896728516
00014223_000.png,0.8544447422027588
00005783_000.png,0.9706849455833435
00003129_001.png,0.9038776159286499
00001320_000.png,0.8828733563423157
00028123_004.png,0.9790418744087219
00023899_000.png,0.9798776507377625
00026314_000.png,0.8627318739891052
00010545_001.png,0.9819920063018799
00014804_000.png,0.9870558381080627
00009808_000.png,0.9633111357688904
00026733_001.png,0.9871079921722412
00012038_000.png,0.9791997671127319
00026057_004.png,0.8872058987617493
00021374_026.png,0.9067763686180115
00021611_001.png,0.9559845924377441
00020420_002.png,0.979127824306488
00025456_002.png,0.9124000072479248
00013443_000.png,0.9875531196594238
00014949_001.png,0.9671180844306946
00000880_000.png,0.9727677702903748
00015974_000.png,0.8193625807762146
00008877_000.png,0.9647865295410156
00015040_001.png,0.8550454378128052
00014253_010.png,0.8781358003616333
00028285_007.png,0.9350289106369019
00013625_018.png,0.9683107137680054
00002978_000.png,0.9667739272117615
00010677_019.png,0.7876940965652466
00001814_007.png,0.9311177134513855
00006450_000.png,0.9893071055412292
00012176_012.png,0.9889403581619263
00025193_000.png,0.9661931991577148
00006207_001.png,0.9905842542648315
00030374_001.png,0.9040876626968384
00026556_001.png,0.893247663974762
00009608_030.png,0.8637204766273499
00008536_000.png,0.9804122447967529
00029809_005.png,0.998904287815094
00016830_004.png,0.9905242919921875
00017819_005.png,0.9902576804161072
00025443_009.png,0.7850930690765381
00027613_001.png,0.9741369485855103
00010179_006.png,0.9238446354866028
00012347_000.png,0.9405945539474487
00007415_000.png,0.986653745174408
00011269_002.png,0.8630149960517883
00022206_004.png,0.9852259755134583
00003002_010.png,0.9169459939002991
00014591_000.png,0.9763515591621399
00013003_011.png,0.9220154285430908
00008858_006.png,0.8529725074768066
00000489_003.png,0.8782317638397217
