subset_type,frac,n_train,train_loss,train_acc,val_loss,val_acc,val_auc,val_best_thr,test_loss,test_acc,test_auc,best_epoch,best_val_auc,best_path
full_loaded,1.0,69220,0.5484536699193242,0.7263363189829529,0.5949909248772789,0.6974110032362459,0.7460780060618046,0.33766353130340576,0.582193303415004,0.7086222838650024,0.7547329387562813,-1,0.7460780060618046,/home/daggarwa/capstone_scratch/2025_capstone/xray_runs/shapley/out_9786475/densenet121_binary.pt
bottom,0.95,65759,0.5785866913744447,0.7015009352332,0.5899110340020236,0.6964863615349052,0.7409949234746006,0.40300366282463074,0.5793823523118216,0.7035367545076283,0.7520434083166158,11,0.7409949234746006,/scratch/st-rohling-1/2025_capstone/xray_runs/shapley/out_bottom_9826448/subset_bottom_95pct_best.pt
bottom,0.9,62298,0.5886720875450229,0.6882564448296895,0.5979375065687824,0.6925566343042071,0.7341707291965947,0.42142805457115173,0.5840614760184989,0.7038834951456311,0.7467079430085686,12,0.7341707291965947,/scratch/st-rohling-1/2025_capstone/xray_runs/shapley/out_bottom_9826448/subset_bottom_90pct_best.pt
bottom,0.85,58837,0.6018086053754972,0.672196067100634,0.6009591795942363,0.6877022653721683,0.7280877714977538,0.434831440448761,0.5885607262744623,0.7000693481276006,0.7437685013003308,12,0.7280877714977538,/scratch/st-rohling-1/2025_capstone/xray_runs/shapley/out_bottom_9826448/subset_bottom_85pct_best.pt
bottom,0.8,55376,0.6379436621007963,0.6332346142733314,0.6141419971690458,0.6747572815533981,0.7151917036374997,0.4487611651420593,0.605547358007992,0.6915164123901988,0.7302208130813339,8,0.7151917036374997,/scratch/st-rohling-1/2025_capstone/xray_runs/shapley/out_bottom_9826448/subset_bottom_80pct_best.pt
bottom,0.75,51915,0.6492841931913287,0.6153712799768853,0.6250259004095021,0.6664355062413315,0.6984141647108506,0.4479551613330841,0.6136981380336425,0.6816920943134536,0.7234181986452971,8,0.6984141647108506,/scratch/st-rohling-1/2025_capstone/xray_runs/shapley/out_bottom_9826448/subset_bottom_75pct_best.pt
