subset_type,frac,n_train,train_loss,train_acc,val_loss,val_acc,val_auc,val_best_thr,test_loss,test_acc,test_auc,best_epoch,best_val_auc,best_path
full,1.0,69220,0.5484536699193242,0.7263363189829529,0.5949909248772789,0.6974110032362459,0.7460780060618046,0.33766353130340576,0.582193303415004,0.7086222838650024,0.7547329387562813,14,0.7460780060618046,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/full_100pct_best.pt
bottom,0.95,65759,0.5693658626989864,0.7102145713894676,0.5943549474810853,0.698797965788257,0.7388452358820728,0.4254220426082611,0.578965167131494,0.7020342117429496,0.7526289917315291,13,0.7388452358820728,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_95pct_best.pt
bottom,0.9,62298,0.6024717835736225,0.6837779704003338,0.594578497330932,0.6929033749422099,0.7359096185768916,0.42078542709350586,0.5830745451590594,0.698220064724919,0.7486929580142467,10,0.7359096185768916,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_90pct_best.pt
bottom,0.85,58837,0.6200212514918784,0.6633240987813791,0.6076812722227153,0.6842348589921405,0.7217615668243831,0.4249423146247864,0.593875853016096,0.7014563106796117,0.7397900822358252,10,0.7217615668243831,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_85pct_best.pt
bottom,0.8,55376,0.6451486939646079,0.6337944235770009,0.6225157231092453,0.6864308830328247,0.7121039266525595,0.49501946568489075,0.6149390147012823,0.6954461396208969,0.7257120958374232,8,0.7121039266525595,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_80pct_best.pt
bottom,0.75,51915,0.6565384406027536,0.6142925936627179,0.6320303893264603,0.6675913083680074,0.6975607700410156,0.5159316062927246,0.6207642191473175,0.6821544151641239,0.7170520350137624,9,0.6975607700410156,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_75pct_best.pt
bottom,0.7,48454,0.684943444102924,0.5550006191439303,0.6592770258293432,0.6361534905224225,0.6516323611429062,0.4803614616394043,0.6565597627092811,0.6475959315765141,0.6627422125932395,3,0.6516323611429062,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_70pct_best.pt
bottom,0.65,44993,0.694145190614191,0.5190585202142556,0.6995278412804884,0.47283865002311604,0.6218797388713824,0.5502161383628845,0.6982295123093268,0.4756125751271382,0.6369124829770985,5,0.6218797388713824,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_65pct_best.pt
bottom,0.6,41532,0.7095897952654329,0.4920302417413079,0.6833359642940409,0.5747803975959316,0.5026550300269816,0.3967230021953583,0.6788127974552267,0.5799815071659732,0.525058074251867,3,0.5026550300269816,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_60pct_best.pt
bottom,0.55,38071,0.6917528488054997,0.5306926532005989,0.713014048688552,0.42880258899676377,0.3677406444020053,0.34909167885780334,0.7110063332845183,0.4358529819694868,0.3795198568062891,1,0.3677406444020053,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_55pct_best.pt
bottom,0.5,34610,0.6845020839665602,0.5480496966194741,0.8142607926445848,0.38719371243643086,0.32862134001921395,inf,0.8156507164239883,0.3859223300970874,0.33371746945229436,2,0.32862134001921395,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_50pct_best.pt
bottom,0.45,31149,0.659235137321621,0.5994092908279559,0.827260364066152,0.3546000924641701,0.31857301217343287,inf,0.8280270261799588,0.35298196948682387,0.3193881690256134,1,0.31857301217343287,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_45pct_best.pt
bottom,0.4,27688,0.6284693681890915,0.6439251661369546,0.8850182141451275,0.3443134535367545,0.31547878774443494,inf,0.8867377844803473,0.34720295885344427,0.315471113822013,3,0.31547878774443494,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_40pct_best.pt
bottom,0.35,24227,0.6133568868001722,0.6759813431295661,0.8805575953686938,0.3564493758668516,0.3186667881895555,inf,0.8787372265668476,0.3591077207582062,0.321125308139549,1,0.3186667881895555,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_35pct_best.pt
bottom,0.3,20766,0.548596800657419,0.7271019936434556,1.027497442329631,0.34200184928340266,0.3207140025754658,inf,1.0306960318018408,0.3444290337494221,0.3201201620468014,1,0.3207140025754658,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_30pct_best.pt
bottom,0.25,17305,0.5025712708045635,0.7636521236636811,1.0853316599831861,0.3444290337494221,0.3232709217090435,inf,1.0879400122691603,0.34535367545076284,0.3235474615770364,1,0.3232709217090435,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_25pct_best.pt
bottom,0.2,13844,0.4743343462592446,0.77809881537128,1.1692223027348518,0.35610263522884883,0.3275573745700515,inf,1.1761185741599869,0.35436893203883496,0.3253456619958619,1,0.3275573745700515,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_20pct_best.pt
bottom,0.15,10383,0.4368547149962443,0.8178753732062024,1.0939496672328781,0.3539066111881646,0.3339662437070202,0.9744734764099121,1.0962433087475159,0.35321312991215903,0.33333938445363775,1,0.3339662437070202,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_15pct_best.pt
bottom,0.1,6922,0.43187211741001236,0.8351632476162959,1.0288445953937138,0.35147942672214516,0.3269339204476491,inf,1.031580958296271,0.34720295885344427,0.32684086631799014,1,0.3269339204476491,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_10pct_best.pt
bottom,0.05,3461,0.5047088904814286,0.764229991331985,0.9243119227535584,0.3808368007397134,0.33370790696980224,inf,0.9299172504859812,0.3751733703190014,0.33167755428239987,1,0.33370790696980224,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_5pct_best.pt
bottom,0.02,1384,0.6001520901918411,0.6690751445086706,0.884841238751131,0.41793804900601017,0.4010569747736481,inf,0.890311673283577,0.41423948220064727,0.3968996094937016,1,0.4010569747736481,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_2pct_best.pt
bottom,0.01,692,0.6674446409398859,0.5867052023121387,0.7276794691296185,0.42452612112806287,0.4149464154296171,0.7188066840171814,0.7303950628813576,0.4252196024040684,0.4048962474912605,1,0.4149464154296171,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_bottom_1pct_best.pt
