subset_type,frac,n_train,train_loss,train_acc,val_loss,val_acc,val_auc,val_best_thr,test_loss,test_acc,test_auc,best_epoch,best_val_auc,best_path
top,0.5,34610,0.02594420974895568,0.9911297312915343,1.8239716243217974,0.7140545538603791,0.7572129614367122,0.2253706157207489,1.9329501754220795,0.7009939898289412,0.7430588974242691,28,0.7572129614367122,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_50pct_best.pt
top,0.45,31149,0.01654310651637532,0.9945423609104627,1.9384857192635536,0.7104715672676838,0.7557377039285401,0.014265074394643307,2.0066595507018707,0.7012251502542765,0.7488600514499255,27,0.7557377039285401,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_45pct_best.pt
top,0.4,27688,0.014537057231631916,0.9947991909852644,2.0537770907668507,0.7094313453536755,0.754408076348273,0.06964471191167831,2.11179780960083,0.7014563106796117,0.7483877890152582,27,0.754408076348273,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_40pct_best.pt
top,0.35,24227,0.011926025996447877,0.9957485450117637,2.0638323329827366,0.7115117891816921,0.7543231895741701,0.038266412913799286,2.1295887766515507,0.7028432732316228,0.7457532137499936,28,0.7543231895741701,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_35pct_best.pt
top,0.3,20766,0.007934486390519082,0.9974477511316575,2.2360966030289147,0.7105871474803513,0.7527250465258537,0.028854621574282646,2.3134793209678985,0.7001849283402681,0.7432706866349237,30,0.7527250465258537,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_30pct_best.pt
top,0.25,17305,0.016995486063514132,0.9940479630164692,1.616479750503512,0.7071197411003236,0.7525942594372472,0.5372673273086548,1.690218975438791,0.6964863615349052,0.7430508659373196,27,0.7525942594372472,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_25pct_best.pt
top,0.2,13844,0.014444664174992343,0.9952325917364924,1.77587871604106,0.7079288025889967,0.7496722503544173,0.029543301090598106,1.8536318860509817,0.6974110032362459,0.7405824214295035,22,0.7496722503544173,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_20pct_best.pt
top,0.15,10383,0.007075252395213947,0.9977848406048349,1.7939539858523537,0.7036523347202959,0.7469278066245266,0.13091111183166504,1.8800754599711473,0.6924410540915396,0.7336367255033596,29,0.7469278066245266,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_15pct_best.pt
top,0.1,6922,0.0379417943340991,0.9855533082924011,1.142721077975105,0.6932501155802127,0.7363587996582142,0.3013659119606018,1.1688128126894726,0.6888580674988442,0.7306710714421667,14,0.7363587996582142,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_10pct_best.pt
top,0.05,3461,0.03037522276863456,0.9913319849754406,1.0969364849083565,0.6853906611188164,0.7280276319344592,0.13604801893234253,1.1017321050167084,0.6859685621821544,0.7262916006269401,20,0.7280276319344592,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_5pct_best.pt
top,0.02,1384,0.08429062078622254,0.9754335260115607,0.8542186775628258,0.676490984743412,0.7143304348551349,0.34733468294143677,0.8493008225717965,0.6785714285714286,0.7137601155477924,16,0.7143304348551349,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_2pct_best.pt
top,0.01,692,0.1872406547719782,0.9378612716763006,0.7613473970662145,0.657535829865927,0.7115774311144102,0.17470525205135345,0.7567850329420146,0.661465557096625,0.7110378815533909,14,0.7115774311144102,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_1pct_best.pt
