ImageID,Shapley_value
00021942_007.png,8.078808605205268e-06
00002146_003.png,1.1263271517236717e-05
00016805_003.png,4.412383077578852e-06
00023062_000.png,1.5052354683575686e-05
00004006_026.png,-6.808862053730991e-06
00009262_002.png,5.284465714794351e-06
00025565_000.png,3.832061338471249e-05
00012241_009.png,8.602078196418006e-06
00008888_032.png,1.2728955880447756e-05
00000236_000.png,1.527956010249909e-05
00008389_000.png,7.764379915897734e-06
00007762_009.png,1.2374212928989436e-05
00016484_008.png,5.03834030496364e-07
00002604_002.png,-9.100726288124861e-07
00002765_006.png,9.533992852084339e-06
00023173_002.png,7.370521416305564e-06
00007620_030.png,4.503499894781271e-06
00004541_002.png,2.075138399959542e-05
00009485_005.png,3.353576539666392e-05
00015163_000.png,1.4151801224215887e-05
00000901_000.png,2.227511458841036e-06
00025849_004.png,1.0761546036519576e-05
00016851_001.png,2.6598598196869716e-05
00023311_003.png,7.015642289331936e-09
00003022_002.png,2.874603751479299e-06
00008347_005.png,1.550205342937261e-05
00012663_006.png,1.3099751413392369e-05
00017985_011.png,3.512049943310558e-06
00014320_008.png,1.7273549019591883e-05
00027106_000.png,5.395897915150272e-06
00004998_000.png,6.072506494092522e-06
00004669_001.png,-4.203295134175278e-07
00025263_000.png,3.144137735944241e-05
00012089_007.png,5.973691804683767e-05
00017189_001.png,1.9988072381238453e-05
00026202_011.png,1.939052890520543e-05
00006944_000.png,-3.380070847924799e-05
00007686_002.png,4.126144176552771e-06
00018326_000.png,-1.1245794667047448e-05
00001488_000.png,3.6155721318209544e-05
00022703_000.png,1.2366815553832566e-06
00003353_008.png,1.9934816009481438e-05
00018843_000.png,-2.4030912754824385e-05
00015809_005.png,1.9250515833846293e-05
00004235_000.png,-2.608992872410454e-05
00011553_033.png,9.747323929332197e-06
00013891_000.png,1.783660081855487e-05
00022449_002.png,2.0610463252523914e-05
00011723_044.png,-3.4061804399243556e-06
00004571_000.png,1.4834342437097803e-05
00026232_028.png,-1.0343146641389467e-05
00005164_000.png,5.411747224570718e-06
00015338_005.png,9.321372999693267e-06
