ImageID,OT_value,OT_similarity,OT_row_cost
BraTS-GLI-00000-000.npz,0.9148346781730652,0.9148346781730652,0.004321943502873182
BraTS-GLI-00002-000.npz,0.9498403072357178,0.9498403072357178,0.004013270605355501
BraTS-GLI-00003-000.npz,0.9445520043373108,0.9445520043373108,0.004059901461005211
BraTS-GLI-00005-000.npz,0.9015908241271973,0.9015908241271973,0.004438724834471941
BraTS-GLI-00008-000.npz,0.912340521812439,0.912340521812439,0.0043439362198114395
BraTS-GLI-00009-000.npz,0.9365059733390808,0.9365059733390808,0.004130850080400705
BraTS-GLI-00009-001.npz,0.9484189748764038,0.9484189748764038,0.004025803413242102
BraTS-GLI-00011-000.npz,0.8129842877388,0.8129842877388,0.005220040678977966
BraTS-GLI-00014-000.npz,0.8262531161308289,0.8262531161308289,0.005103038623929024
BraTS-GLI-00014-001.npz,0.8852280974388123,0.8852280974388123,0.004583008587360382
BraTS-GLI-00016-000.npz,0.9370488524436951,0.9370488524436951,0.004126063082367182
BraTS-GLI-00016-001.npz,0.9048813581466675,0.9048813581466675,0.004409709945321083
BraTS-GLI-00017-000.npz,0.8868147134780884,0.8868147134780884,0.004569018259644508
BraTS-GLI-00017-001.npz,0.9415255188941956,0.9415255188941956,0.004086588509380817
BraTS-GLI-00018-000.npz,0.9228832721710205,0.9228832721710205,0.00425097206607461
BraTS-GLI-00019-000.npz,0.9692994356155396,0.9692994356155396,0.0038416835013777018
BraTS-GLI-00020-000.npz,0.9270301461219788,0.9270301461219788,0.0042144060134887695
BraTS-GLI-00020-001.npz,0.9316678643226624,0.9316678643226624,0.004173511639237404
BraTS-GLI-00021-000.npz,0.9253660440444946,0.9253660440444946,0.004229079931974411
BraTS-GLI-00021-001.npz,0.8901872634887695,0.8901872634887695,0.004539279732853174
BraTS-GLI-00022-001.npz,0.9680808782577515,0.9680808782577515,0.003852428402751684
BraTS-GLI-00024-000.npz,0.8899794816970825,0.8899794816970825,0.004541111644357443
BraTS-GLI-00024-001.npz,0.920832633972168,0.920832633972168,0.004269054625183344
BraTS-GLI-00025-000.npz,0.704430103302002,0.704430103302002,0.006177250761538744
BraTS-GLI-00030-000.npz,0.8760455250740051,0.8760455250740051,0.004663978703320026
BraTS-GLI-00031-001.npz,0.8214862942695618,0.8214862942695618,0.005145071540027857
BraTS-GLI-00032-000.npz,0.8048773407936096,0.8048773407936096,0.005291526205837727
BraTS-GLI-00032-001.npz,0.5687346458435059,0.5687346458435059,0.007373787462711334
BraTS-GLI-00033-000.npz,0.7465412616729736,0.7465412616729736,0.005805922672152519
BraTS-GLI-00035-000.npz,0.9747840762138367,0.9747840762138367,0.0037933208514004946
BraTS-GLI-00036-000.npz,0.7646828889846802,0.7646828889846802,0.005645953118801117
BraTS-GLI-00043-000.npz,0.8838659524917603,0.8838659524917603,0.004595019388943911
BraTS-GLI-00044-000.npz,0.9623462557792664,0.9623462557792664,0.0039029952604323626
BraTS-GLI-00045-000.npz,0.902773916721344,0.902773916721344,0.004428292624652386
BraTS-GLI-00045-001.npz,0.9505397081375122,0.9505397081375122,0.0040071033872663975
BraTS-GLI-00048-001.npz,0.9107632637023926,0.9107632637023926,0.00435784412547946
BraTS-GLI-00049-000.npz,0.9520075917243958,0.9520075917243958,0.0039941598661243916
BraTS-GLI-00051-000.npz,0.9346088171005249,0.9346088171005249,0.0041475784964859486
BraTS-GLI-00052-000.npz,0.7160845398902893,0.7160845398902893,0.006074483972042799
BraTS-GLI-00058-001.npz,0.9173601269721985,0.9173601269721985,0.004299674183130264
BraTS-GLI-00059-000.npz,0.9349573850631714,0.9349573850631714,0.0041445051319897175
BraTS-GLI-00059-001.npz,0.9056189656257629,0.9056189656257629,0.004403205588459969
BraTS-GLI-00061-000.npz,0.8652967214584351,0.8652967214584351,0.004758759401738644
BraTS-GLI-00061-001.npz,0.7736988663673401,0.7736988663673401,0.005566451698541641
BraTS-GLI-00062-000.npz,0.956660807132721,0.956660807132721,0.003953128587454557
BraTS-GLI-00063-000.npz,0.5756903290748596,0.5756903290748596,0.007312453351914883
BraTS-GLI-00066-000.npz,1.0,1.0,0.003570971777662635
