KeepPercent,Top_Dice,Top_Emissions_kgCO2eq,Bottom_Dice,Bottom_Emissions_kgCO2eq
100,0.8834859728813171,0.0011612496698926,0.8834859728813171,0.0011612496698926
95,0.8751357793807983,0.0002760288207315,0.8609429597854614,0.0003305440784681
90,0.8513733148574829,0.0003710097181135,0.864863395690918,0.0002764911425218
85,0.8552951812744141,0.0003268949866345,0.8807493448257446,0.0003037301240899
80,0.8738840818405151,0.000320606695462,0.8721520900726318,0.0003133574415463
75,0.8401830196380615,0.0002804570850956,0.7724123001098633,0.0002788544823446
70,0.8467838764190674,0.0003750620056688,0.8333830237388611,0.0002513504321354
65,0.8454198837280273,0.0003586663591531,0.805838942527771,0.0002348466778782
60,0.8313112854957581,0.0003442376187607,0.8581596612930298,0.0003131024251938
55,0.813363254070282,0.0002799162260398,0.7535448670387268,0.0003782098054858
50,0.7905774116516113,0.0003556405436192,0.8109533190727234,0.0002663841982662
45,0.8328892588615417,0.0003607783440519,0.8447362780570984,0.0003543071756919
40,0.7365546822547913,0.0003346942309625,0.7411530017852783,0.0003713899583644
35,0.7998319268226624,0.0003540168321568,0.7997188568115234,0.0003356435256258
30,0.7876981496810913,0.0003509221134834,0.7176303863525391,0.0003386703182334
25,0.2614874541759491,6.693824463842569e-05,0.7435842752456665,0.0003456255217193
20,0.3529612720012665,0.0001779514680255,0.5780436992645264,0.0003781246988597
15,0.32683393359184265,0.0002042947000449,0.4386601448059082,0.0003655488727116
10,0.07911166548728943,4.263077554908783e-05,0.08198640495538712,6.008959844455978e-05
5,0.08186118304729462,4.354572015473641e-05,0.08085659146308899,4.797065101888521e-05
